,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
135,Referenz auf die ID der Netzlokation,SG8,RFF,1154,,,ID der Netzlokation,X [960],
136,OBIS-Kennzahl der Netzlokation,SG8,,,,,,,
137,OBIS-Kennzahl der Netzlokation,SG8,,,,,,Muss,
138,OBIS-Kennzahl der Netzlokation,SG8,PIA,,,,,Muss,
139,OBIS-Kennzahl der Netzlokation,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
140,OBIS-Kennzahl der Netzlokation,SG8,PIA,7140,,,OBIS-Kennzahl der Netzlokation,X,
141,OBIS-Kennzahl der Netzlokation,SG8,PIA,7143,SRW,,OBIS-Kennzahl,X,OBIS-Kennzahl
142,Produkt-Daten für Netzbetreiber relevant,SG10,,,,,,Muss,
143,Produkt-Daten für Netzbetreiber relevant,SG10,,,,,,Muss,
144,Produkt-Daten für Netzbetreiber relevant,SG10,CCI,,,,,Muss,
145,Produkt-Daten für Netzbetreiber relevant,SG10,CCI,7037,ZA8,,NB,X,NB
146,Verwendungszweck der Werte,SG10,,,,,,,
147,Verwendungszweck der Werte,SG10,,,,,,Muss,
148,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
149,Verwendungszweck der Werte,SG10,CAV,7111,ZD1,,Blindarbeitabrechnung /Betriebsführung,X,Blindarbeitabrechnung /Betriebsführung
150,Produkt-Daten für Lieferant relevant,SG10,,,,,,Muss,
151,Produkt-Daten für Lieferant relevant,SG10,,,,,,Muss,
152,Produkt-Daten für Lieferant relevant,SG10,CCI,,,,,Muss,
153,Produkt-Daten für Lieferant relevant,SG10,CCI,7037,ZA7,,LF,X,LF
154,Verwendungszweck der Werte,SG10,,,,,,,
155,Verwendungszweck der Werte,SG10,,,,,,Muss,
156,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
157,Verwendungszweck der Werte,SG10,CAV,7111,Z47,,Endkundenabrechnung,X [1P1..1],Endkundenabrechnung
158,Verwendungszweck der Werte,SG10,CAV,7111,ZD1,,Blindarbeitabrechnung /Betriebsführung,X [1P1..1],
159,Produkt-Daten der Netzlokation,SG8,,,,,,Soll [294] ∧[336],
160,Produkt-Daten der Netzlokation,SG8,,,,,,Soll [294] ∧[336],
161,Produkt-Daten der Netzlokation,SG8,SEQ,,,,,Muss,
162,Produkt-Daten der Netzlokation,SG8,SEQ,1229,Z60,,Produkt-Daten derNetzlokation,X,Produkt-Daten derNetzlokation
163,Referenz auf die ID der Netzlokation,SG8,,,,,,,
164,Referenz auf die ID der Netzlokation,SG8,,,,,,Muss,
165,Referenz auf die ID der Netzlokation,SG8,RFF,,,,,Muss,
166,Referenz auf die ID der Netzlokation,SG8,RFF,1153,Z32,,Netzlokation,X,Netzlokation
167,Referenz auf die ID der Netzlokation,SG8,RFF,1154,,,ID einer Netzlokation,X [960],
168,Produkt-Daten der Netzlokation,SG8,,,,,,,
169,Produkt-Daten der Netzlokation,SG8,,,,,,Muss [445],
170,Produkt-Daten der Netzlokation,SG8,PIA,,,,,Muss [445],
171,Produkt-Daten der Netzlokation,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
172,Produkt-Daten der Netzlokation,SG8,PIA,7140,,,Konfigurationsprodukt-Code,X [412],
173,Produkt-Daten der Netzlokation,SG8,PIA,7143,Z12,,Konfigurationsprodukt,X,Konfigurationsprodukt
174,Details zum Produkt der Netzlokation,SG10,,,,,,Muss [444],
175,Details zum Produkt der Netzlokation,SG10,,,,,,Muss [444],
176,Details zum Produkt der Netzlokation,SG10,CCI,,,,,Muss,
177,Details zum Produkt der Netzlokation,SG10,CCI,7059,11,,Produkt,X,Produkt
178,Details zum Produkt der Netzlokation,SG10,CCI,7037,ZF6,,Kein Produkt an derNetzlokation zugeordnet,X,Kein Produkt an derNetzlokation zugeordnet
179,Zugeordnete Leistungskurvendefinition,SG10,,,,,,Muss [190],
180,Zugeordnete Leistungskurvendefinition,SG10,,,,,,Muss [190],
181,Zugeordnete Leistungskurvendefinition,SG10,CCI,,,,,Muss,
182,Zugeordnete Leistungskurvendefinition,SG10,CCI,7059,Z53,,Code derLeistungskurvendefinition,X,Code derLeistungskurvendefinition
183,Zugeordnete Leistungskurvendefinition,SG10,CCI,7037,,,Code der,X,
184,Auftraggebender Marktpartner,SG10,,,,,,Muss,
185,Auftraggebender Marktpartner,SG10,,,,,,Muss,
186,Auftraggebender Marktpartner,SG10,CCI,,,,,Muss,
187,Auftraggebender Marktpartner,SG10,CCI,7037,ZB3,,ZugeordneterMarktpartner,X,ZugeordneterMarktpartner
188,Auftraggebender Marktpartner,SG10,,,,,,,
189,Auftraggebender Marktpartner,SG10,,,,,,Muss,
190,Auftraggebender Marktpartner,SG10,CAV,,,,,Muss,
191,Auftraggebender Marktpartner,SG10,CAV,7111,Z88,,NB,X,NB
192,Auftraggebender Marktpartner,SG10,CAV,7111,Z89,,LF,X,
193,Auftraggebender Marktpartner,SG10,CAV,1131,,,MP-ID,X,
194,Produkt-Daten für Marktrolle relevant,SG10,,,,,,Muss,
195,Produkt-Daten für Marktrolle relevant,SG10,,,,,,Muss,
196,Produkt-Daten für Marktrolle relevant,SG10,CCI,,,,,Muss,
197,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA7,,LF,X [1P0..1],LF
198,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA8,,NB,X [1P0..1],
199,Daten der Marktlokation,SG8,,,,,,Muss [25] ∧[2061],
200,Daten der Marktlokation,SG8,,,,,,Muss [25] ∧[2061],
201,Daten der Marktlokation,SG8,SEQ,,,,,Muss,
202,Daten der Marktlokation,SG8,SEQ,1229,Z01,,Daten der Marktlokation,X,Daten der Marktlokation
203,Referenz auf die ID der Marktlokation,SG8,,,,,,,
204,Referenz auf die ID der Marktlokation,SG8,,,,,,Muss,
205,Referenz auf die ID der Marktlokation,SG8,RFF,,,,,Muss,
206,Referenz auf die ID der Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
207,Referenz auf die ID der Marktlokation,SG8,RFF,1154,,,ID der Marktlokation,X [950],
208,Lieferrichtung,SG10,,,,,,Muss,
209,Lieferrichtung,SG10,,,,,,Muss,
210,Lieferrichtung,SG10,CCI,,,,,Muss,
211,Lieferrichtung,SG10,CCI,7059,Z30,,Lieferrichtung,X,Lieferrichtung
212,Lieferrichtung,SG10,CCI,7037,Z06,,Erzeugung,X,Erzeugung
213,Lieferrichtung,SG10,CCI,7037,Z07,,Verbrauch,X,
214,OBIS-Daten der Marktlokation,SG8,,,,,,Soll [25] ∧[336],
215,OBIS-Daten der Marktlokation,SG8,,,,,,Soll [25] ∧[336],
216,OBIS-Daten der Marktlokation,SG8,SEQ,,,,,Muss,
217,OBIS-Daten der Marktlokation,SG8,SEQ,1229,Z02,,OBIS-Daten derMarktlokation,X,OBIS-Daten derMarktlokation
218,Referenz auf die ID der Marktlokation,SG8,,,,,,,
219,Referenz auf die ID der Marktlokation,SG8,,,,,,Muss,
220,Referenz auf die ID der Marktlokation,SG8,RFF,,,,,Muss,
221,Referenz auf die ID der Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
222,Referenz auf die ID der Marktlokation,SG8,RFF,1154,,,ID einer Marktlokation,X [950],
223,OBIS-Kennzahl der Marktlokation,SG8,,,,,,,
224,OBIS-Kennzahl der Marktlokation,SG8,,,,,,Muss,
225,OBIS-Kennzahl der Marktlokation,SG8,PIA,,,,,Muss,
226,OBIS-Kennzahl der Marktlokation,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
227,OBIS-Kennzahl der Marktlokation,SG8,PIA,7140,,,OBIS-Kennzahl der Marktlokation,X [314],
228,OBIS-Kennzahl der Marktlokation,SG8,PIA,7143,SRW,,OBIS-Kennzahl,X,OBIS-Kennzahl
229,Wertegranularität,SG10,,,,,,Muss [257]⊻ [288],
230,Wertegranularität,SG10,,,,,,Muss [257]⊻ [288],
231,Wertegranularität,SG10,CCI,,,,,Muss,
232,Wertegranularität,SG10,CCI,7037,ZE4,,Wertegranularität,X,Wertegranularität
233,Wertegranularität,SG10,,,,,,,
234,Wertegranularität,SG10,,,,,,Muss,
235,Wertegranularität,SG10,CAV,,,,,Muss,
236,Wertegranularität,SG10,CAV,7111,ZD9,,Jährlich,X,Jährlich
237,Wertegranularität,SG10,CAV,7111,ZE8,,Halbjährlich,X,
238,Wertegranularität,SG10,CAV,7111,ZE9,,Quartalsweise,X,
239,Wertegranularität,SG10,CAV,7111,ZB7,,Monatlich,X,
240,Zugeordnete Zählzeitdefinition,SG10,,,,,,Muss [386]∧ [387],
241,Zugeordnete Zählzeitdefinition,SG10,,,,,,Muss [386]∧ [387],
242,Zugeordnete Zählzeitdefinition,SG10,CCI,,,,,Muss,
243,Zugeordnete Zählzeitdefinition,SG10,CCI,7059,Z39,,Code derZählzeitdefinition,X,Code derZählzeitdefinition
244,Zugeordnete Zählzeitdefinition,SG10,CCI,7037,,,Code der Zählzeitdefinition,X,
245,Zugeordnetes Zählzeitregister ,SG10,,,,,,Muss [421],
246,Zugeordnetes Zählzeitregister ,SG10,,,,,,Muss [421],
247,Zugeordnetes Zählzeitregister ,SG10,CCI,,,,,Muss,
248,Zugeordnetes Zählzeitregister ,SG10,CCI,7059,Z38,,Code desZählzeitregisters,X,Code desZählzeitregisters
249,Zugeordnetes Zählzeitregister ,SG10,CCI,7037,,,Code des Zählzeitregisters,X,
250,OBIS Daten für Netzbetreiber relevant,SG10,,,,,,Muss,
251,OBIS Daten für Netzbetreiber relevant,SG10,,,,,,Muss,
252,OBIS Daten für Netzbetreiber relevant,SG10,CCI,,,,,Muss,
253,OBIS Daten für Netzbetreiber relevant,SG10,CCI,7037,ZA8,,NB,X,NB
254,Verwendungszweck der Werte,SG10,,,,,,,
255,Verwendungszweck der Werte,SG10,,,,,,Muss,
256,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
257,Verwendungszweck der Werte,SG10,CAV,7111,Z84,,Netznutzungsabrechnun,X [29P1..1] ⊻g[32P1..1] ⊻[36P1..1],Netznutzungsabrechnun
258,Verwendungszweck der Werte,SG10,CAV,7111,Z85,,Bilanzkreisabrechnung,X [31P0..1] ⊻[32P0..1] ⊻[33P0..1] ⊻[34P0..1],
259,Verwendungszweck der Werte,SG10,CAV,7111,Z86,,Mehrmindermengenabre,X [30P1..1] ⊻chnung,
260,Verwendungszweck der Werte,SG10,CAV,7111,Z92,,Übermittlung an das,X [33P1..1] ⊻HKNR,
261,Verwendungszweck der Werte,SG10,CAV,7111,ZD1,,Blindarbeitabrechnung /Betriebsführung,X [28P1..1],
262,Verwendungszweck der Werte,SG10,CAV,7111,ZE1,,Es liegt keinVerwendungszweck vor,X [38P1..1],
263,OBIS Daten für Lieferant relevant,SG10,,,,,,Muss,
264,OBIS Daten für Lieferant relevant,SG10,,,,,,Muss,
265,OBIS Daten für Lieferant relevant,SG10,CCI,,,,,Muss,
266,OBIS Daten für Lieferant relevant,SG10,CCI,7037,ZA7,,LF,X,LF
267,Verwendungszweck der Werte,SG10,,,,,,,
268,Verwendungszweck der Werte,SG10,,,,,,Muss,
269,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
270,Verwendungszweck der Werte,SG10,CAV,7111,Z84,,Netznutzungsabrechnun,X [29P0..1] ⊻g[32P0..1] ⊻[36P0..1],Netznutzungsabrechnun
271,Verwendungszweck der Werte,SG10,CAV,7111,Z85,,Bilanzkreisabrechnung,X [31P1..1] ⊻[32P1..1] ⊻[33P1..1] ⊻[34P1..1],
272,Verwendungszweck der Werte,SG10,CAV,7111,Z86,,Mehrmindermengenabre,X [30P1..1] ⊻chnung,
273,Verwendungszweck der Werte,SG10,CAV,7111,Z47,,Endkundenabrechnung,X [28P0..1] ⊻[29P1..1] ⊻[30P0..1] ⊻[32P1..1] ⊻[34P1..1] ⊻[35P1..1] ⊻[36P0..1] ⊻[37P1..1],
274,Verwendungszweck der Werte,SG10,CAV,7111,ZD1,,Blindarbeitabrechnung /Betriebsführung,X [28P0..1],
275,Verwendungszweck der Werte,SG10,CAV,7111,ZE1,,Es liegt keinVerwendungszweck vor,X [38P1..1],
276,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,,,,,,Muss [396],
277,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,,,,,,Muss [396],
278,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,CCI,,,,,Muss,
279,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,CCI,7037,ZA9,,ÜNB,X,ÜNB
280,Verwendungszweck der Werte,SG10,,,,,,,
281,Verwendungszweck der Werte,SG10,,,,,,Muss,
282,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
283,Verwendungszweck der Werte,SG10,CAV,7111,Z85,,Bilanzkreisabrechnung,X [1P0..1],Bilanzkreisabrechnung
284,Verwendungszweck der Werte,SG10,CAV,7111,ZB5,,Zur Ermittlung derAusgeglichenheit vonBilanzkreisen,X [1P1..1],
285,Produkt-Daten der Marktlokation,SG8,,,,,,Soll [25] ∧[336],
286,Produkt-Daten der Marktlokation,SG8,,,,,,Soll [25] ∧[336],
287,Produkt-Daten der Marktlokation,SG8,SEQ,,,,,Muss,
288,Produkt-Daten der Marktlokation,SG8,SEQ,1229,Z59,,Produkt-Daten derMarktlokation,X,Produkt-Daten derMarktlokation
289,Referenz auf die ID der Marktlokation,SG8,,,,,,,
290,Referenz auf die ID der Marktlokation,SG8,,,,,,Muss,
291,Referenz auf die ID der Marktlokation,SG8,RFF,,,,,Muss,
292,Referenz auf die ID der Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
293,Referenz auf die ID der Marktlokation,SG8,RFF,1154,,,ID einer Marktlokation,X [950],
294,Produkt-Daten der Marktlokation,SG8,,,,,,,
295,Produkt-Daten der Marktlokation,SG8,,,,,,Muss,
296,Produkt-Daten der Marktlokation,SG8,PIA,,,,,Muss,
297,Produkt-Daten der Marktlokation,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
298,Produkt-Daten der Marktlokation,SG8,PIA,7140,,,Produkt-/Leistungsnummer,X,
299,Produkt-Daten der Marktlokation,SG8,PIA,7143,Z12,,Konfigurationsprodukt,X,Konfigurationsprodukt
300,Zugeordnete Definition,SG10,,,,,,Muss,
301,Zugeordnete Definition,SG10,,,,,,Muss,
302,Zugeordnete Definition,SG10,CCI,,,,,Muss,
303,Zugeordnete Definition,SG10,CCI,7059,Z53,,Code derLeistungskurvendefinition,X,Code derLeistungskurvendefinition
304,Zugeordnete Definition,SG10,CCI,7037,,,Code der Definition,X,
305,Produkt-Daten für Marktrolle relevant,SG10,,,,,,Muss,
306,Produkt-Daten für Marktrolle relevant,SG10,,,,,,Muss,
307,Produkt-Daten für Marktrolle relevant,SG10,CCI,,,,,Muss,
308,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA8,,NB,X [1P0..1],NB
309,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA7,,LF,X [1P0..1],
310,OBIS-Daten der Tranche,SG8,,,,,,Soll [336],
311,OBIS-Daten der Tranche,SG8,,,,,,Soll [336],
312,OBIS-Daten der Tranche,SG8,SEQ,,,,,Muss,
313,OBIS-Daten der Tranche,SG8,SEQ,1229,Z17,,OBIS-Daten der Tranche,X,OBIS-Daten der Tranche
314,Referenz auf die ID einer Tranche,SG8,,,,,,,
315,Referenz auf die ID einer Tranche,SG8,,,,,,Muss,
316,Referenz auf die ID einer Tranche,SG8,RFF,,,,,Muss,
317,Referenz auf die ID einer Tranche,SG8,RFF,1153,Z20,,Tranche,X,Tranche
318,Referenz auf die ID einer Tranche,SG8,RFF,1154,,,ID einer Tranche,X [950],
319,OBIS-Kennzahl der Tranche,SG8,,,,,,,
320,OBIS-Kennzahl der Tranche,SG8,,,,,,Muss,
321,OBIS-Kennzahl der Tranche,SG8,PIA,,,,,Muss,
322,OBIS-Kennzahl der Tranche,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
323,OBIS-Kennzahl der Tranche,SG8,PIA,7140,,,OBIS-Kennzahl der Tranche,X [269],
