Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Kommunikationsverbindung,SG3,COM,,,,,,Muss,,24,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Kommunikationsverbindung,SG3,COM,,00006,,,,Muss,,24
Kommunikationsverbindung,SG3,COM,3148,,,,Nummer / Adresse,X,,25,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Kommunikationsverbindung,SG3,COM,3148,00006,,,Nummer / Adresse,X,,25
Kommunikationsverbindung,SG3,COM,3155,,EM,,Elektronische Post,X [1P0..1],,26,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Kommunikationsverbindung,SG3,COM,3155,00006,EM,,Elektronische Post,X [1P0..1],,26
Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],,27,,,Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],,27
Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],,28,,,Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],,28
Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,29,,,Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,29
Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],,30,,,Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],,30
MP-ID Empfänger,SG2,,,,,,,Muss,,31,,,MP-ID Empfänger,SG2,,,,,,,Muss,,31
MP-ID Empfänger,SG2,NAD,,,,,,Muss,,32,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,,00007,,,,Muss,,32
MP-ID Empfänger,SG2,NAD,3035,,MR,,Nachrichtenempfänger,X,,33,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,3035,00007,MR,,Nachrichtenempfänger,X,,33
MP-ID Empfänger,SG2,NAD,3039,,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom,34,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,3039,00007,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom,34
MP-ID Empfänger,SG2,NAD,3055,,9,,GS1,X,,35,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,MP-ID Empfänger,SG2,NAD,3055,00007,9,,GS1,X,,35
MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,36,,,MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,36
Vorgang,SG5,,,,,,,Muss [522],"[505] Hinweis: Jede ausgerollte Zählzeitdefinition ist in einem eigenen IDE anzugeben
[522] Hinweis: Jede ausgerollte Schaltzeitdefinition ist in einem eigenen IDE anzugeben
[523] Hinweis: Jede ausgerollte Leistungskurvendefinitio n ist in einem eigenen IDE anzugeben",37,,,Vorgang,SG5,,,,,,,Muss [522],"[505] Hinweis: Jede ausgerollte Zählzeitdefinition ist in einem eigenen IDE anzugeben
[522] Hinweis: Jede ausgerollte Schaltzeitdefinition ist in einem eigenen IDE anzugeben
[523] Hinweis: Jede ausgerollte Leistungskurvendefinitio n ist in einem eigenen IDE anzugeben",37
Vorgang,SG5,IDE,,,,,,Muss,,38,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Vorgang,SG5,IDE,,00008,,,,Muss,,38
Vorgang,SG5,IDE,7495,,24,,Transaktion,X,,39,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Vorgang,SG5,IDE,7495,00008,24,,Transaktion,X,,39
Vorgang,SG5,IDE,7402,,,,Vorgangsnummer,X,,40,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Vorgang,SG5,IDE,7402,00008,,,Vorgangsnummer,X,,40
Code der Definition,SG5,LOC,,,,,,Muss,,41,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Code der Definition,SG5,LOC,,00010,,,,Muss,,41
Code der Definition,SG5,LOC,3227,,Z09,,Code der Definition,X,,42,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Code der Definition,SG5,LOC,3227,00010,Z09,,Code der Definition,X,,42
Code der Definition,SG5,LOC,3225,,,,Code der Definition,X [525],"[524] Hinweis: Es ist der Code einer Zählzeitdefinition anzugeben
[525] Hinweis: Es ist der Code einer Schaltzeitdefinition anzugeben
[526] Hinweis: Es ist der Code einer Leistungskurvendefinitio n anzugeben",43,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Code der Definition,SG5,LOC,3225,00010,,,Code der Definition,X [525],"[524] Hinweis: Es ist der Code einer Zählzeitdefinition anzugeben
[525] Hinweis: Es ist der Code einer Schaltzeitdefinition anzugeben
[526] Hinweis: Es ist der Code einer Leistungskurvendefinitio n anzugeben",43
Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,,,,,,Muss,,44,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,,00012,,,,Muss,,44
Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2005,,Z34,,Gültigkeitsbeginn,X,,45,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2005,00012,Z34,,Gültigkeitsbeginn,X,,45
Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] ∧ [947],"[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300",46,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2380,00012,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] ∧ [947],"[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300",46
Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,47,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2379,00012,303,,CCYYMMDDHHMMZZZ,X,,47
Gültigkeitsende der ausgerollten Definition,SG5,DTM,,,,,,Muss [46] Soll [47] ∧ [37],"[29] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 303 vorhanden
[36] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 401 vorhanden
[37] Wenn ein Gültigkeitsende bereits angegeben werden kann.
[46] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 303 vorhanden
[47] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 401 vorhanden
[48] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 303 vorhanden
[49] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 401 vorhanden",48,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsende der ausgerollten Definition,SG5,DTM,,00013,,,,Muss [46] Soll [47] ∧ [37],"[29] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 303 vorhanden
[36] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 401 vorhanden
[37] Wenn ein Gültigkeitsende bereits angegeben werden kann.
[46] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 303 vorhanden
[47] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 401 vorhanden
[48] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 303 vorhanden
[49] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 401 vorhanden",48
Gültigkeitsende der ausgerollten Definition,SG5,DTM,2005,,Z35,,Gültigkeitsende,X,,49,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsende der ausgerollten Definition,SG5,DTM,2005,00013,Z35,,Gültigkeitsende,X,,49
Gültigkeitsende der ausgerollten Definition,SG5,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] ∧ [947] [30],"[30] Der Wert von CCYY in diesem DE muss genau um eins höher sein, als der Wert CCYY des SG5 DTM+Z34 (Gültigkeitsbeginn) DE2380
[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300",50,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsende der ausgerollten Definition,SG5,DTM,2380,00013,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] ∧ [947] [30],"[30] Der Wert von CCYY in diesem DE muss genau um eins höher sein, als der Wert CCYY des SG5 DTM+Z34 (Gültigkeitsbeginn) DE2380
[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300",50
Gültigkeitsende der ausgerollten Definition,SG5,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,51,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Gültigkeitsende der ausgerollten Definition,SG5,DTM,2379,00013,303,,CCYYMMDDHHMMZZZ,X,,51
Versionsangabe,SG5,DTM,,,,,,Muss,,52,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe,SG5,DTM,,00014,,,,Muss,,52
Versionsangabe,SG5,DTM,2005,,293,,Fertigstellungsdatum/- zeit,X,,53,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe,SG5,DTM,2005,00014,293,,Fertigstellungsdatum/- zeit,X,,53
Versionsangabe,SG5,DTM,2380,,,,Datum oder Uhrzeit oder,X [931],[931] Format: ZZZ = +00,54,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404|Beschreibung_FV2310|Beschreibung_FV2404,Versionsangabe,SG5,DTM,2380,00014,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,54
Versionsangabe,SG5,DTM,2379,,304,,CCYYMMDDHHMMSSZZZ,X,,55,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Versionsangabe,SG5,DTM,2379,00014,304,,CCYYMMDDHHMMSSZZZ,X,,55
Prüfidentifikator,SG6,,,,,,,Muss,,56,,,Prüfidentifikator,SG6,,,,,,,Muss,,56
Prüfidentifikator,SG6,RFF,,,,,,Muss,,57,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Prüfidentifikator,SG6,RFF,,00018,,,,Muss,,57
Prüfidentifikator,SG6,RFF,1153,,Z13,,Prüfidentifikator,X,,58,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Prüfidentifikator,SG6,RFF,1153,00018,Z13,,Prüfidentifikator,X,,58
Prüfidentifikator,SG6,RFF,1154,,25008,,Ausgerollte Schaltzeitdefinition,X,,59,,,Prüfidentifikator,SG6,RFF,1154,,25008,,Ausgerollte Schaltzeitdefinition,X,,59
Referenz auf Reklamation,SG6,,,,,,,Soll [26],[26] sofern per ORDERS reklamiert,60,,,Referenz auf Reklamation,SG6,,,,,,,Soll [26],[26] sofern per ORDERS reklamiert,60
Referenz auf Reklamation,SG6,RFF,,,,,,Muss,,61,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf Reklamation,SG6,RFF,,00019,,,,Muss,,61
Referenz auf Reklamation,SG6,RFF,1153,,AGI,,Beantragungsnummer,X,,62,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf Reklamation,SG6,RFF,1153,00019,AGI,,Beantragungsnummer,X,,62
Referenz auf Reklamation,SG6,RFF,1154,,,,"Referenz, Identifikation",X [504],[504] Hinweis: Wert aus BGM+Z55 DE1004 der ORDERS mit der die Reklamation einer Definition erfolgt ist,63,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Referenz auf Reklamation,SG6,RFF,1154,00019,,,"Referenz, Identifikation",X [504],[504] Hinweis: Wert aus BGM+Z55 DE1004 der ORDERS mit der die Reklamation einer Definition erfolgt ist,63
Schaltzeitdefinition,SG8,,,,,,,Muss [514] ∧ [515] ∧ ([516] ⊻ [517]),"[514] Hinweis: Für jeden Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) ist diese Sementgruppe einmal anzugeben
[515] Hinweis: Kein Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) darf mehrfach vorkommen
[516] Hinweis: Wenn der Code 303 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) identisch mit dem Wert aus DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[517] Hinweis: Wenn der Code 401 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert = 0000 im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) sein",64,,,Schaltzeitdefinition,SG8,,,,,,,Muss [514] ∧ [515] ∧ ([516] ⊻ [517]),"[514] Hinweis: Für jeden Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) ist diese Sementgruppe einmal anzugeben
[515] Hinweis: Kein Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) darf mehrfach vorkommen
[516] Hinweis: Wenn der Code 303 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) identisch mit dem Wert aus DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[517] Hinweis: Wenn der Code 401 im DE2379 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) genutzt wird, muss genau ein Wert = 0000 im DE2380 des Schaltzeitänderungszeitp unkt (SG8 DTM+Z44) sein",64
Schaltzeitdefinition,SG8,SEQ,,,,,,Muss,,65,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schaltzeitdefinition,SG8,SEQ,,00052,,,,Muss,,65
Schaltzeitdefinition,SG8,SEQ,1229,,Z73,,Ausgerollte Schaltzeitdefinition,X,,66,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schaltzeitdefinition,SG8,SEQ,1229,00052,Z73,,Ausgerollte Schaltzeitdefinition,X,,66
Schaltzeitänderungszeitpun kt,SG8,DTM,,,,,,Muss,,67,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schaltzeitänderungszeitpun kt,SG8,DTM,,00053,,,,Muss,,67
Schaltzeitänderungszeitpun kt,SG8,DTM,2005,,Z44,,Schaltzeitänderungszeitp unkt,X,,68,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schaltzeitänderungszeitpun kt,SG8,DTM,2005,00053,Z44,,Schaltzeitänderungszeitp unkt,X,,68
