Segmentname_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Qualifier_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304,Unnamed: 0_FV2304,Änderung,changed_entries,Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310
Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,,,,,,Muss,,23,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,,00013,,,,Muss,,23
Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,4465,,,,Code des Prüfschritts,X,,24,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,4465,00013,,,Code des Prüfschritts,X,,24
Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,1082,,,,,E_0800,,25,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Einzelheiten zu einer Anpassung/Änderung,SG2,AJT,1082,00013,,,,E_0800,,25
MP-ID Absender,SG3,,,,,,,Muss,,26,,,MP-ID Absender,SG3,,,,,,,Muss,,26
MP-ID Absender,SG3,NAD,,,,,,Muss,,27,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Absender,SG3,NAD,,00015,,,,Muss,,27
MP-ID Absender,SG3,NAD,3035,,Nachrichtenaussteller bzw. -absender,,,MS,,28,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Absender,SG3,NAD,3035,00015,Nachrichtenaussteller bzw. -absender,,,MS,,28
MP-ID Absender,SG3,NAD,3039,,,,MP-ID,X [30],[30] MP-ID nur aus Sparte Strom,29,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Absender,SG3,NAD,3039,00015,,,MP-ID,X [30],[30] MP-ID nur aus Sparte Strom,29
MP-ID Absender,SG3,NAD,3055,,9,,GS1,X,,30,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Absender,SG3,NAD,3055,00015,9,,GS1,X,,30
MP-ID Absender,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,31,,,MP-ID Absender,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,31
Ansprechpartner,SG6,,,,,,,Kann,,32,,,Ansprechpartner,SG6,,,,,,,Kann,,32
Ansprechpartner,SG6,CTA,,,,,,Muss,,33,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Ansprechpartner,SG6,CTA,,00016,,,,Muss,,33
Ansprechpartner,SG6,CTA,3139,,,,,IC,,34,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Ansprechpartner,SG6,CTA,3139,00016,,,,IC,,34
Ansprechpartner,SG6,CTA,3412,,,,Kontakt,X,,35,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Ansprechpartner,SG6,CTA,3412,00016,,,Kontakt,X,,35
Kommunikationsverbindung,SG6,COM,,,,,,Muss,,36,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Kommunikationsverbindung,SG6,COM,,00017,,,,Muss,,36
Kommunikationsverbindung,SG6,COM,3148,,,,"Kommunikationsadresse, Identifikation",X,,37,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Kommunikationsverbindung,SG6,COM,3148,00017,,,"Kommunikationsadresse, Identifikation",X,,37
Kommunikationsverbindung,SG6,COM,3155,,EM,,Elektronische Post,X [1P0..1],,38,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Kommunikationsverbindung,SG6,COM,3155,00017,EM,,Elektronische Post,X [1P0..1],,38
Kommunikationsverbindung,SG6,COM,3155,,FX,,Telefax,X [1P0..1],,39,,,Kommunikationsverbindung,SG6,COM,3155,,FX,,Telefax,X [1P0..1],,39
Kommunikationsverbindung,SG6,COM,3155,,TE,,Telefon,X [1P0..1],,40,,,Kommunikationsverbindung,SG6,COM,3155,,TE,,Telefon,X [1P0..1],,40
Kommunikationsverbindung,SG6,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,41,,,Kommunikationsverbindung,SG6,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,41
Kommunikationsverbindung,SG6,COM,3155,,AL,,Handy,X [1P0..1],,42,,,Kommunikationsverbindung,SG6,COM,3155,,AL,,Handy,X [1P0..1],,42
MP-ID Empfänger,SG3,,,,,,,Muss,,43,,,MP-ID Empfänger,SG3,,,,,,,Muss,,43
MP-ID Empfänger,SG3,NAD,,,,,,Muss,,44,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Empfänger,SG3,NAD,,00018,,,,Muss,,44
MP-ID Empfänger,SG3,NAD,3035,,,,,MR,,45,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Empfänger,SG3,NAD,3035,00018,,,,MR,,45
MP-ID Empfänger,SG3,NAD,3039,,,,MP-ID,X [30],[30] MP-ID nur aus Sparte Strom,46,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Empfänger,SG3,NAD,3039,00018,,,MP-ID,X [30],[30] MP-ID nur aus Sparte Strom,46
MP-ID Empfänger,SG3,NAD,3055,,9,,GS1,X,,47,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,MP-ID Empfänger,SG3,NAD,3055,00018,9,,GS1,X,,47
MP-ID Empfänger,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,48,,,MP-ID Empfänger,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,48
Abschnitts-Kontrollsegment,,UNS,,,,,,Muss,,49,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Abschnitts-Kontrollsegment,,UNS,,00030,,,,Muss,,49
Abschnitts-Kontrollsegment,,UNS,0081,,und Summenteil,,,S,,50,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Abschnitts-Kontrollsegment,,UNS,0081,00030,und Summenteil,,,S,,50
Nachrichten-Endesegment,,UNT,,,,,,Muss,,51,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Nachrichten-Endesegment,,UNT,,00034,,,,Muss,,51
Nachrichten-Endesegment,,UNT,0074,,,,Anzahl der Segmente in einer Nachricht,X,,52,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Nachrichten-Endesegment,,UNT,0074,00034,,,Anzahl der Segmente in einer Nachricht,X,,52
Nachrichten-Endesegment,,UNT,0062,,,,Nachrichten-Referenznummer,X,,53,ÄNDERUNG,Segment ID_FV2304|Segment ID_FV2310,Nachrichten-Endesegment,,UNT,0062,00034,,,Nachrichten-Referenznummer,X,,53
