Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,,,,,,,Muss [131] ∧ [135] ∧ [136] ∧ [137] ∧ [138] ∧ [2050],"[131] Wenn in LOC+172 DE3225 (Meldepunkt) die ID einer Messlokation angegeben ist
[135] Wenn SG29 LIN++Z64 (Erforderliches Produkt Schaltzeitdefinitionen) nicht vorhanden
[136] Wenn SG29 LIN++Z65 (Erforderliches Produkt Leistungskurvendefinitionen) nicht vorhanden
[137] Wenn SG29 LIN++Z66 (Erforderliches Produkt Ad-hoc- Steuerkanal) nicht vorhanden
[138] Wenn SG29 LIN++Z67 (Erforderliches Messprodukt für Werte nach Typ 2 aus Backend) nicht vorhanden
[2050] Pro Nachricht ist die SG29 genau einmal anzugeben",110,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,,,,,,,Muss [131] ∧ [135] ∧ [136] ∧ [137] ∧ [138] ∧ [2050],"[131] Wenn in LOC+172 DE3225 (Meldepunkt) die ID einer Messlokation angegeben ist
[135] Wenn SG29 LIN++Z64 (Erforderliches Produkt Schaltzeitdefinitionen) nicht vorhanden
[136] Wenn SG29 LIN++Z65 (Erforderliches Produkt Leistungskurvendefinitionen) nicht vorhanden
[137] Wenn SG29 LIN++Z66 (Erforderliches Produkt Ad-hoc- Steuerkanal) nicht vorhanden
[138] Wenn SG29 LIN++Z67 (Erforderliches Messprodukt für Werte nach Typ 2 aus Backend) nicht vorhanden
[2050] Pro Nachricht ist die SG29 genau einmal anzugeben",110
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,LIN,,00113,,,,Muss,,111,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,LIN,,00113,,,,Muss,,111
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,LIN,1082,00113,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,112,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,LIN,1082,00113,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,112
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,LIN,1229,00113,Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,,,Z68,,113,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,LIN,1229,00113,Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,,,Z68,,113
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,,00114,,,,Muss,,114,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,,00114,,,,Muss,,114
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,4347,00114,,,,5,,115,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,4347,00114,,,,5,,115
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,7140,00114,,,Produkt-Code,X [129],"[129] Es sind nur die Messprodukte erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.4 „Messprodukte mit Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW“ enthalten sind.",116,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,7140,00114,,,Produkt-Code,X [129],"[129] Es sind nur die Messprodukte erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.4 „Messprodukte mit Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW“ enthalten sind.",116
Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,7143,00114,Z12,,Konfigurationsprodukt,X,,117,,,Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW,SG29,PIA,7143,00114,Z12,,Konfigurationsprodukt,X,,117
Zieladresse URI,SG29,FTX,,00115,,,,Muss [564],[564] Hinweis: Für den Empfang der Werte nach Typ 2 aus dem SMGW.,118,,,Zieladresse URI,SG29,FTX,,00115,,,,Muss [564],[564] Hinweis: Für den Empfang der Werte nach Typ 2 aus dem SMGW.,118
Zieladresse URI,SG29,FTX,4451,00115,,,,Z17,,119,,,Zieladresse URI,SG29,FTX,4451,00115,,,,Z17,,119
Zieladresse URI,SG29,FTX,4440,00115,,,Zieladresse URI für die Bereitstellung der Werte,X,,120,,,Zieladresse URI,SG29,FTX,4440,00115,,,Zieladresse URI für die Bereitstellung der Werte,X,,120
Zertifikatsaussteller (Issuer),SG29,FTX,,00116,,,,Muss [564],[564] Hinweis: Für den Empfang der Werte nach Typ 2 aus dem SMGW.,121,,,Zertifikatsaussteller (Issuer),SG29,FTX,,00116,,,,Muss [564],[564] Hinweis: Für den Empfang der Werte nach Typ 2 aus dem SMGW.,121
Zertifikatsaussteller (Issuer),SG29,FTX,4451,00116,,,,Z24,,122,,,Zertifikatsaussteller (Issuer),SG29,FTX,4451,00116,,,,Z24,,122
Zertifikatsaussteller (Issuer),SG29,FTX,4440,00116,,,Zertifikatsaussteller,X [967],"[967] Format: Zertifikatskörper gemäß X509.1, BSI TR-03109-4",123,,,Zertifikatsaussteller (Issuer),SG29,FTX,4440,00116,,,Zertifikatsaussteller,X [967],"[967] Format: Zertifikatskörper gemäß X509.1, BSI TR-03109-4",123
